NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
27/04/2023,20000,20000,19636.363636363636,19727.272727272724,-300,-0.013636363636363669,19201300
26/04/2023,19136.363636363636,20000,19000,20000,950,0.0451306413301662,43339656
25/04/2023,18909.090909090908,19318.181818181816,18818.181818181816,19136.363636363636,400,0.01937046004842613,21036200
24/04/2023,18818.181818181816,18909.090909090908,18681.81818181818,18772.727272727272,-50,-0.0024154589371980784,16360500
21/04/2023,18909.090909090908,18954.545454545452,18818.181818181816,18818.181818181816,-100,-0.004807692307692291,13415658
20/04/2023,18909.090909090908,19000,18863.63636363636,18909.090909090908,0,0,6641700
19/04/2023,19136.363636363636,19136.363636363636,18909.090909090908,18909.090909090908,-150,-0.007159904534606243,10479100
18/04/2023,19000,19090.90909090909,18909.090909090908,19045.454545454544,100,0.004796163069544335,11571700
17/04/2023,18727.272727272724,19000,18727.272727272724,18954.545454545452,200,0.009685230024213176,9275500
14/04/2023,18681.81818181818,18954.545454545452,18636.363636363636,18772.727272727272,200,0.009779951100244544,13807900
13/04/2023,18909.090909090908,18909.090909090908,18500,18590.90909090909,-300,-0.014457831325301207,15077808
12/04/2023,19000,19000,18772.727272727272,18863.63636363636,-50,-0.0024038461538461453,10788200
11/04/2023,18818.181818181816,18954.545454545452,18727.272727272724,18909.090909090908,100,0.004830917874396157,14666216
10/04/2023,19318.181818181816,19409.090909090908,18727.272727272724,18818.181818181816,-500,-0.02358490566037741,26845700
07/04/2023,19545.454545454544,19636.363636363636,19181.81818181818,19272.727272727272,-300,-0.013953488372092981,18563008
06/04/2023,19590.90909090909,19909.090909090908,19454.545454545452,19545.454545454544,0,0,27888900
05/04/2023,19181.81818181818,19545.454545454544,19045.454545454544,19545.454545454544,400,0.018957345971563955,25522700
04/04/2023,19227.272727272724,19272.727272727272,19045.454545454544,19181.81818181818,100,0.004761904761904745,19864400
03/04/2023,19136.363636363636,19181.81818181818,18954.545454545452,19090.90909090909,200,0.009615384615384581,21370500
31/03/2023,18909.090909090908,19000,18500,18909.090909090908,0,0,23770300
30/03/2023,19090.90909090909,19227.272727272724,18863.63636363636,18909.090909090908,0,0,21101100
29/03/2023,18818.181818181816,19181.81818181818,18818.181818181816,18909.090909090908,100,0.004830917874396157,18258840
28/03/2023,19000,19090.90909090909,18818.181818181816,18818.181818181816,-100,-0.004807692307692291,12501100
27/03/2023,18545.454545454544,19000,18500,18909.090909090908,400,0.019607843137254832,20583800
24/03/2023,18590.90909090909,18636.363636363636,18454.545454545452,18545.454545454544,0,0,15349600
23/03/2023,18363.636363636364,18545.454545454544,18227.272727272724,18545.454545454544,100,0.0049261083743843415,14219700
22/03/2023,18681.81818181818,18727.272727272724,18318.181818181816,18454.545454545452,-150,-0.007334963325183352,12937700
21/03/2023,18363.636363636364,18681.81818181818,18045.454545454544,18590.90909090909,450,0.022499999999999964,19836400
