NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
22/01/2024,69981.23651561936,69981.23651561936,69344.2161572197,69435.2190655625,-400,-0.0052151238591916504,482700
19/01/2024,68707.19579882004,69799.23069893374,68616.19289047724,69799.23069893374,1400,0.01859229747675961,1004200
18/01/2024,68434.18707379162,68798.19870716285,68434.18707379162,68525.18998213443,100,0.0013297872340425343,457100
17/01/2024,69162.21034053407,69162.21034053407,68343.18416544881,68434.18707379162,-400,-0.005291005291005346,831700
16/01/2024,68707.19579882004,68889.20161550566,68252.181257106,68798.19870716285,-100,-0.0013210039630119352,457100
15/01/2024,68707.19579882004,69071.20743219128,68707.19579882004,68889.20161550566,600,0.007989347536617952,441100
12/01/2024,69253.21324887688,69253.21324887688,68252.181257106,68343.18416544881,-900,-0.011842105263157876,809900
11/01/2024,68889.20161550566,69253.21324887688,68707.19579882004,69162.21034053407,500,0.0066225165562914245,494000
10/01/2024,69344.2161572197,69526.22197390531,68707.19579882004,68707.19579882004,-400,-0.005270092226614009,1027400
09/01/2024,69890.23360727655,70072.23942396216,69071.20743219128,69071.20743219128,-900,-0.01171875,891500
08/01/2024,70345.24814899059,70800.26269070462,69617.22488224812,69890.23360727655,-400,-0.005181347150259086,1022900
05/01/2024,70072.23942396216,70436.2510573334,70072.23942396216,70254.24524064778,500,0.006518904823989535,1077100
04/01/2024,69162.21034053407,70436.2510573334,69162.21034053407,69799.23069893374,700,0.009210526315789558,1507700
03/01/2024,68707.19579882004,69162.21034053407,68616.19289047724,69162.21034053407,400,0.005291005291005346,569300
02/01/2024,68980.20452384847,69435.2190655625,68707.19579882004,68798.19870716285,100,0.0013245033112583293,693400
29/12/2023,69344.2161572197,69435.2190655625,68707.19579882004,68707.19579882004,-500,-0.006578947368421018,1058240
28/12/2023,69526.22197390531,69526.22197390531,68798.19870716285,69162.21034053407,-300,-0.003931847968545177,790200
27/12/2023,69526.22197390531,69799.23069893374,69253.21324887688,69435.2190655625,-100,-0.0013089005235602524,706400
