NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
22/11/2022,39503.849659128246,40879.60561740634,39159.91066955872,39503.849659128246,,,3707900
21/11/2022,41223.54460697587,41223.54460697587,39946.05693143192,39946.05693143192,,,1862800
18/11/2022,40289.99592100144,41518.349455178315,39209.04481092579,41420.08117244417,,,4447700
17/11/2022,41027.008041507564,42157.09329295029,40093.459355533145,41076.14218287464,,,3201200
16/11/2022,34639.56966378783,39749.52036596362,34639.56966378783,39749.52036596362,,,9358100
15/11/2022,37538.48400444525,38815.9716799892,37194.54501487572,37194.54501487572,,,4327900
14/11/2022,41272.67874834294,42009.690868849066,39700.38622459654,39946.05693143192,,,3561900
11/11/2022,42648.43470662104,43631.11753396254,42255.36157568444,42255.36157568444,,,3645900
10/11/2022,44171.593089000366,44171.593089000366,41616.617737912464,41616.617737912464,,,3670600
09/11/2022,44220.72723036744,45645.61733001261,43778.51995806376,44712.06864403818,,,2234900
08/11/2022,42107.959151583214,44810.33692677234,40584.800769203895,43827.65409943084,,,4153800
07/11/2022,45203.410057708934,45743.88561274676,42107.959151583214,42107.959151583214,,,6474200
04/11/2022,46726.56844008826,47168.77571239194,45252.54419907601,45252.54419907601,,,6372900
03/11/2022,48151.45853973343,49428.94621527738,47267.043995126085,48642.79995340418,,,2640000
02/11/2022,49134.14136707493,49428.94621527738,45989.55631958214,47168.77571239194,,,4983700
01/11/2022,51099.50702175793,51590.84843542868,49232.40964980908,49232.40964980908,,,2039200
31/10/2022,51492.58015269453,51983.92156636528,48642.79995340418,50706.433890821325,,,5555500
28/10/2022,52573.53126277018,53457.945807377524,51885.65328363112,52278.726414567725,,,1865000
27/10/2022,50411.62904261888,52966.60439370677,50411.62904261888,52376.994697301874,,,3311200
26/10/2022,51197.775304492076,51590.84843542868,49723.75106347983,51001.23873902378,,,2405200
25/10/2022,49822.01934621398,53064.87267644092,48151.45853973343,51099.50702175793,,,4670700
24/10/2022,53556.21409011167,54047.55550378242,49723.75106347983,49723.75106347983,,,6018000
21/10/2022,57290.408834009366,57290.408834009366,53457.945807377524,53457.945807377524,,,8142300
20/10/2022,57192.14055127522,57978.28681314842,56897.33570307277,57388.67711674352,,,1936900
19/10/2022,58174.82337861672,58469.628226819164,57290.408834009366,57978.28681314842,,,1537400
18/10/2022,58862.70135775577,59452.311054160666,57585.21368221182,57978.28681314842,,,2408900
17/10/2022,58567.89650955332,58567.89650955332,56799.06742033862,57880.018530414265,,,2810800
14/10/2022,56995.60398580692,59255.77448869237,56995.60398580692,58862.70135775577,,,3209900
13/10/2022,56012.92115846542,57192.14055127522,55521.57974479467,56602.53085487032,,,1986100
12/10/2022,54538.896917453174,57781.75024768012,54538.896917453174,56504.26257213617,,,2886100
11/10/2022,56111.18944119957,56602.53085487032,53163.14095917508,54440.628634719025,,,2967300
10/10/2022,52180.45813183358,56307.72600666787,52082.18984909943,56111.18944119957,,,3969100
07/10/2022,55521.57974479467,56897.33570307277,53064.87267644092,53064.87267644092,,,8527200
06/10/2022,61122.871860641215,61221.14014337536,56995.60398580692,56995.60398580692,,,4352900
05/10/2022,59943.652467831416,62007.28640524856,59943.652467831416,61122.871860641215,,,2192200
04/10/2022,60140.18903329971,60238.45731603386,59059.237923224064,59943.652467831416,,,4254500
03/10/2022,61810.74983978026,61810.74983978026,58567.89650955332,58567.89650955332,,,4252600
30/09/2022,62596.89610165346,63088.23751532421,60631.530446970464,62891.70094985591,,,5747900
29/09/2022,65348.40801820966,65348.40801820966,62596.89610165346,62891.70094985591,,,2545200
28/09/2022,64955.33488727306,65839.74943188041,63874.38377719741,63874.38377719741,,,2724500
27/09/2022,66232.822562817,66822.43225922191,65643.21286641211,65938.01771461456,,,2741100
26/09/2022,66625.8956937536,67018.96882469021,64463.993473602306,66822.43225922191,,,5349300
23/09/2022,68886.06619663905,68886.06619663905,67412.0419556268,68198.1882175,,,5420296
22/09/2022,67903.38336929756,69573.9441757781,67117.23710742436,68886.06619663905,,,5551400
21/09/2022,69770.4807412464,69770.4807412464,68787.7979139049,68787.7979139049,,,3366200
20/09/2022,69672.21245851225,70753.1635685879,68001.65165203171,70458.35872038545,,,3380900
19/09/2022,70753.1635685879,71539.3098304611,67903.38336929756,69279.13932757566,,,4845600
16/09/2022,72128.919526866,72423.72437506844,70163.553872183,70753.1635685879,,,4479700
15/09/2022,72423.72437506844,73504.6754851441,72128.919526866,72620.26094053674,,,4071600
14/09/2022,71441.04154772694,72620.26094053674,71342.7732649928,72423.72437506844,,,3955200
13/09/2022,72718.5292232709,73111.6023542075,72030.65124413185,72816.79750600505,,,2158200
12/09/2022,70949.7001340562,74094.285181549,70851.43185132205,72718.5292232709,,,7347100
09/09/2022,70753.1635685879,71146.2366995245,69573.9441757781,70753.1635685879,,,2858308
08/09/2022,70261.82215491714,71047.96841679035,69279.13932757566,70261.82215491714,,,4196100
07/09/2022,71342.7732649928,71539.3098304611,69377.4076103098,69475.67589304395,,,5883400
06/09/2022,71342.7732649928,72030.65124413185,71146.2366995245,71637.57811319525,,,2623900
05/09/2022,72620.26094053674,72620.26094053674,71244.50498225864,71244.50498225864,,,2747600
31/08/2022,71244.50498225864,72718.5292232709,71244.50498225864,72718.5292232709,,,5018200
30/08/2022,73209.87063694165,73701.21205061239,71637.57811319525,72030.65124413185,,,4835400
29/08/2022,70556.6270031196,72718.5292232709,69475.67589304395,72718.5292232709,,,9374800
26/08/2022,67510.31023836095,71834.11467866355,67510.31023836095,70949.7001340562,,,10847500
25/08/2022,66527.62741101945,67510.31023836095,66134.55428008286,67215.5053901585,,,5301400
24/08/2022,65741.48114914626,66036.2859973487,65151.871452741354,65643.21286641211,,,2451000
23/08/2022,64758.79832180476,66625.8956937536,64758.79832180476,65741.48114914626,,,4463200
22/08/2022,63481.31064626081,65741.48114914626,63383.04236352666,65348.40801820966,,,5855600
19/08/2022,63383.04236352666,64267.45690813401,62007.28640524856,62989.96923259006,,,2866400
18/08/2022,63874.38377719741,64660.53003907061,62793.432667121764,63383.04236352666,,,4463200
17/08/2022,64857.06660453891,65250.13973547551,63874.38377719741,63874.38377719741,,,2548800
16/08/2022,63874.38377719741,65839.74943188041,63874.38377719741,64857.06660453891,,,4322478
15/08/2022,62203.822970716865,63874.38377719741,61909.01812251441,63874.38377719741,,,5610900
12/08/2022,61810.74983978026,62596.89610165346,61122.871860641215,61909.01812251441,,,2949300
11/08/2022,62891.70094985591,63088.23751532421,61417.67670884366,61909.01812251441,,,3426000
10/08/2022,62203.822970716865,63186.50579805836,61909.01812251441,62498.62781891931,,,2521000
09/08/2022,62007.28640524856,62498.62781891931,61810.74983978026,62203.822970716865,,,3532200
