NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
01/04/2024,30799.21918719608,30978.806471086435,30080.870051634654,30305.3541564976,-1200,-0.017467248908296984,16200
29/03/2024,30619.631903305723,31023.703292059025,30440.044619415366,30844.11600816867,700,0.010294117647058787,16100
28/03/2024,30529.838261360546,31113.496934004204,30529.838261360546,30529.838261360546,0,0,7600
27/03/2024,30215.560514552424,30529.838261360546,30215.560514552424,30529.838261360546,600,0.008902077151335286,8800
26/03/2024,30350.25097747019,30889.01282914126,29856.385946771712,30260.45733552501,-500,-0.007363770250368162,17200
25/03/2024,30619.631903305723,31068.600113031614,30484.941440387956,30484.941440387956,-1400,-0.02020202020202022,28500
22/03/2024,31203.29057594938,31203.29057594938,30709.425545250902,31113.496934004204,100,0.0014450867052022698,18800
21/03/2024,30709.425545250902,31293.08421789456,30709.425545250902,31068.600113031614,900,0.013177159590043841,56200
20/03/2024,30305.3541564976,30978.806471086435,30305.3541564976,30664.528724278312,800,0.01185185185185178,56900
19/03/2024,29946.17958871689,30529.838261360546,29317.62409510064,30305.3541564976,1600,0.02427921092564489,60200
18/03/2024,29901.2827677443,29901.2827677443,29182.933632182874,29587.005020936176,-700,-0.010510510510510551,38400
15/03/2024,29721.695483853942,29901.2827677443,29631.901841908766,29901.2827677443,0,0,20300
14/03/2024,29721.695483853942,29901.2827677443,29676.798662881356,29901.2827677443,400,0.0060422960725075026,7800
13/03/2024,29093.139990237698,29766.592304826532,29093.139990237698,29721.695483853942,1200,0.01846153846153853,28700
12/03/2024,29452.31455801841,29631.901841908766,29182.933632182874,29182.933632182874,-600,-0.009146341463414642,18500
11/03/2024,29452.31455801841,29631.901841908766,29317.62409510064,29452.31455801841,-100,-0.0015220700152207556,11100
08/03/2024,29856.385946771712,29856.385946771712,29227.830453155464,29497.211378990996,-100,-0.001519756838905817,15500
07/03/2024,29856.385946771712,29856.385946771712,29452.31455801841,29542.108199963586,-600,-0.009036144578313254,17300
06/03/2024,29766.592304826532,29946.17958871689,29542.108199963586,29811.489125799122,0,0,16300
05/03/2024,30260.45733552501,30260.45733552501,29721.695483853942,29811.489125799122,-400,-0.005988023952095856,9600
04/03/2024,30035.973230662068,30350.25097747019,29901.2827677443,29991.076409689478,0,0,24900
01/03/2024,29587.005020936176,29991.076409689478,29407.41773704582,29991.076409689478,600,0.009063444108761365,10000
29/02/2024,29272.727274128054,29811.489125799122,29182.933632182874,29721.695483853942,-100,-0.0015082956259426794,6900
28/02/2024,29721.695483853942,29811.489125799122,29721.695483853942,29766.592304826532,100,0.0015105740181269312,14500
27/02/2024,29317.62409510064,29811.489125799122,29182.933632182874,29721.695483853942,1000,0.015337423312883347,47300
26/02/2024,28913.552706347342,29272.727274128054,28913.552706347342,29272.727274128054,-300,-0.004580152671755711,29500
23/02/2024,29631.901841908766,29631.901841908766,29182.933632182874,29407.41773704582,100,0.001529051987767538,21900
22/02/2024,29182.933632182874,29407.41773704582,29138.036811210284,29362.52091607323,500,0.007704160246533087,14700
21/02/2024,29497.211378990996,29856.385946771712,29138.036811210284,29138.036811210284,-800,-0.0121765601217656,44800
20/02/2024,29182.933632182874,29497.211378990996,29182.933632182874,29497.211378990996,700,0.010769230769230864,19300
19/02/2024,28284.997212731094,29182.933632182874,28060.513107868148,29182.933632182874,2100,0.03338632750397452,172900
16/02/2024,28284.997212731094,28284.997212731094,27836.029003005202,28240.100391758504,-100,-0.0015873015873015817,23200
15/02/2024,27925.82264495038,28689.068601484396,27925.82264495038,28284.997212731094,0,0,18200
07/02/2024,28509.48131759404,28509.48131759404,27880.925823977792,28284.997212731094,-300,-0.004739336492891044,9100
06/02/2024,27836.029003005202,28509.48131759404,27656.441719114846,28419.68767564886,1100,0.01768488745980701,32900
05/02/2024,27656.441719114846,27925.82264495038,27611.54489814226,27925.82264495038,600,0.009740259740259827,8300
02/02/2024,27836.029003005202,27925.82264495038,27656.441719114846,27656.441719114846,-400,-0.006451612903225823,18500
01/02/2024,26578.91801577271,27836.029003005202,26578.91801577271,27836.029003005202,900,0.014729950900163713,23300
31/01/2024,27387.060793279314,27476.85443522449,27297.267151334134,27431.957614251904,-700,-0.01132686084142398,11400
30/01/2024,27836.029003005202,27836.029003005202,27387.060793279314,27746.235361060026,100,0.0016207455429497752,14500
29/01/2024,28195.203570785918,28195.203570785918,27701.338540087436,27701.338540087436,-800,-0.012800000000000034,23200
